Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Broken Plates","Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723382/broken-plates,1.4,-1,Sport,5.7,1,60,34.05232,-116.17043
"Cross-Roads Finish","Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724786/cross-roads-finish,2.4,-1,Sport,5.7,1,60,34.06957,-116.16993
[Redacted],"The Cheyenne Social Club > Jerry's Quarry and Lost Pencil Areas > Geology Tour Road > Queen Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724801/redacted,1.0,-1,Sport,5.7,1,50,33.95243,-116.09812
"Swing Low","Echo Cove - North Side > Echo Cove > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724909/swing-low,2.2,-1,Sport,5.7,1,60,34.02489,-116.1578
"Lockn00b Monster","Hodgepodge Rock - West Face > Hodgepodge Rock > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105855411/lockn00b-monster,1.8,-1,"Sport, TR",5.7,1,40,34.09669,-116.16054
"Music to My Smears","Saddle Rocks - Skirt  (South Face) > (a) Saddle Rocks - Skirt > Saddle Rocks > Saddle Rocks Area > Sheep Pass Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105897339/music-to-my-smears,2.0,-1,Sport,5.7,1,50,33.99381,-116.14014
"Water Moccasin","Indian Palisades Corridor > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105909202/water-moccasin,2.1,-1,Sport,5.7,1,60,34.09365,-116.15436
"View to a Thrill","Goldfinger Rock > The Safe Zone > Indian Head Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106042537/view-to-a-thrill,1.8,-1,Sport,5.7,1,45,34.09405,-116.04985
"Feminine Itch","Campfire Crag - South Face > Campfire Crag Area > Indian Cove CG West > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106075758/feminine-itch,2.2,-1,Sport,5.7,1,70,34.09514,-116.1586
"Proof of Life","Pixar Wall > Pixar Wall Area > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/106634596/proof-of-life,1.1,-1,Sport,5.7,1,40,34.03258,-116.15983
"Bugs Life","Pixar Wall > Pixar Wall Area > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/106634606/bugs-life,1.6,-1,Sport,5.7,1,40,34.03258,-116.15983
"Tim's Valentine","SW Face Center (The Solarium) > Little Hunk - SW Face > Little Hunk > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/106660862/tims-valentine,2.3,-1,Sport,5.7,1,60,34.0265,-116.152
"The Howling Monkey","The Giblet > Up  Canyon Crags > (f) Del Taco Crags Area > Highway 62 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/106735575/the-howling-monkey,1.0,-1,Sport,5.7,1,50,34.12817,-116.07306
Weo,"Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106755785/weo,1.9,-1,Sport,5.7,1,170,34.06957,-116.16993
"Keith's 10,000 Girlfriends","Lechlinski Crack Formation > Virgin Islands Area > Geology Tour Road > Queen Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/106770899/keiths-10000-girlfriends,1.4,-1,Sport,5.7,1,40,33.94356,-116.07787
"Let Your Freak Flag Fly","North Astro Dome - Southwest Face > North Astro Dome > The Astro Domes > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106772948/let-your-freak-flag-fly,2.3,-1,Sport,5.7,1,120,34.03859,-116.14801
