Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Apollo Reed","The Coliseum > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105989372/apollo-reed,3.9,-1,Sport,5.13a,1,90,38.24146,-80.84583
"Slash and Burn","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106419038/slash-and-burn,4.0,-1,Sport,5.12d,1,80,38.05238,-81.07272
Pod,"The Coliseum > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106133390/pod,3.9,-1,Sport,5.13b,1,70,38.24146,-80.84583
"Eye of Mordor","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107361553/eye-of-mordor,3.6,-1,Sport,5.13a,1,110,38.14319,-80.91967
"Lactic Acid Bath","1. The Hole > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105944388/lactic-acid-bath,3.9,-1,Sport,5.12d,1,70,38.0449,-81.06561
"Skylore Engine","R) The Cirque > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106961501/skylore-engine,4.0,-1,Sport,5.13a/b,1,95,38.05615,-81.04359
"Narcissus Direct","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106062736/narcissus-direct,3.3,-1,Sport,5.12c/d,1,50,38.24193,-80.84067
"Blood Raid","1. The Hole > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105970375/blood-raid,3.9,-1,Sport,5.13a,1,60,38.0449,-81.06561
"Dial 911","J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105970498/dial-911,4.0,-1,Sport,5.13a,1,80,38.05474,-81.05704
"Pudd's Pretty Dress","E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106579581/pudds-pretty-dress,3.9,-1,Sport,5.12d,1,90,38.05426,-81.06106
"Quinsana Plus","I) Honeymooner's Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106936801/quinsana-plus,3.9,-1,Sport,5.13a,1,80,38.05426,-81.05828
"The Mercy Seat","The Coliseum > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106133382/the-mercy-seat,3.8,-1,Sport,5.13a/b,1,80,38.24146,-80.84583
"Mighty Dog (aka Lavender Days)","3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107193060/mighty-dog-aka-lavender-days,4.0,-1,Sport,5.13a,1,90,38.15303,-80.93231
"Black Rider (aka Pocket Route)","J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107384950/black-rider-aka-pocket-route,3.8,-1,Sport,5.13a,1,90,38.05474,-81.05704
"Devil Doll","1. The Hole > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106703837/devil-doll,3.8,-1,Sport,5.12d,1,60,38.0449,-81.06561
"Ruda Tovar (AKA Porter's 12c)","3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107533585/ruda-tovar-aka-porters-12c,3.9,-1,Sport,5.12d,1,70,38.15303,-80.93231
"Welcome to Conditioning","4) Just Send It Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107331686/welcome-to-conditioning,3.9,-1,Sport,5.12d,1,40,38.06357,-81.06849
"Fuel Injector","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106425641/fuel-injector,3.8,-1,Sport,5.13b,1,80,38.05238,-81.07272
"White Trash","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107084114/white-trash,3.8,-1,Sport,5.13a,1,40,38.15323,-80.93233
Sanctified,"2. First Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107652860/sanctified,4.0,-1,Sport,5.12d,1,90,38.04588,-81.06645
Dissonance,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107826096/dissonance,3.6,-1,Sport,5.13a,1,90,38.05474,-81.05704
BC,"The Coliseum > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106215459/bc,3.9,-1,Sport,5.13c,1,70,38.24146,-80.84583
Confirmation,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106001169/confirmation,4.0,-1,Sport,5.13b,1,90,38.05474,-81.05704
"Super Mario","1) Super Mario Boulder > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106216446/super-mario,3.6,-1,Sport,5.13a,1,40,38.05531,-81.0362
