Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Bitter Ray of Sunshine,The Great Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106451181/bitter-ray-of-sunshine,2.9,-1,Sport,5.10b,1,55,37.73288,-83.63751
Ryanosaurus,Land Before Time Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106968604/ryanosaurus,2.9,-1,Sport,5.9,1,50,37.72435,-83.63078
Road Kill,Coopers Cove > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111088926/road-kill,3,-1,Sport,5.10d,1,60,37.64138,-83.68193
Porphyria,The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110400270/porphyria,2.9,-1,Sport,5.11a,1,60,37.64186,-83.68375
Funkadelic,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105866459/funkadelic,2.9,-1,Sport,5.10b,1,95,37.8029,-83.5762
My Way or The Highway,Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/116162358/my-way-or-the-highway,3,-1,Sport,5.9,1,80,37.65078,-83.72161
Hen-ry!,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105867536/hen-ry,2.9,-1,Sport,5.11b,1,50,37.81449,-83.66388
Cruisin' for a Bruisin',The Hideout > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106937607/cruisin-for-a-bruisin,2.9,-1,Sport,5.10d,1,60,37.73189,-83.63725
Wildfire,Curbside > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106782154/wildfire,3.5,-1,Sport,5.12a,1,50,37.65051,-83.71917
Toxicodendron,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/109695855/toxicodendron,3.2,-1,Sport,5.11b,1,70,37.64919,-83.71343
Bethel,Johnny's Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106614620/bethel,2.9,-1,Sport,5.10a,1,50,37.72961,-83.63208
Fifth Bolt Faith,Tectonic Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106170048/fifth-bolt-faith,2.9,-1,Sport,5.10c,1,55,37.7301,-83.6318
Girls Gone Wild..WOO!,Shady Grove > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106702996/girls-gone-wildwoo,2.9,-1,Sport,5.10d,1,60,37.65431,-83.71364
Spinner,Johnny's Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106614626/spinner,2.9,-1,Sport,5.10b,1,50,37.72961,-83.63208
