Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"High Exposure","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105798994/high-exposure,3.8,-1,Trad,5.6,2,250,41.74421,-74.179
"Bonnie's Roof","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801433/bonnies-roof,3.9,-1,Trad,5.9,2,250,41.74421,-74.179
"Cascading Crystal Kaleidoscope (CCK)","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801065/cascading-crystal-kaleidoscope-cck,3.8,-1,Trad,"5.8 PG13",3,250,41.74396,-74.17964
"Madame Grunnebaum's Wulst","f. The Guides' Wall (Madame G's) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799697/madame-grunnebaums-wulst,3.8,-1,Trad,5.6,3,210,41.74053,-74.18289
"Son of Easy O","c. Frog's Head - the Arch > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105821512/son-of-easy-o,3.8,-1,Trad,5.8,2,170,41.73836,-74.18537
Ridicullissima,"i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105888125/ridicullissima,3.9,-1,Trad,"5.10c/d PG13",1,180,41.74421,-74.179
"Fat City Direct","a. Beginning of cliff to Gelsa > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/105798943/fat-city-direct,3.9,-1,Trad,"5.10d PG13",1,150,41.73517,-74.19463
"Directississima (aka Doubleissima)","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799077/directississima-aka-doubleissima,3.8,-1,Trad,5.10b,2,200,41.74421,-74.179
"The Ceiling","d. Strictly - The Ceiling > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799687/the-ceiling,3.5,-1,Trad,5.6,3,275,41.73894,-74.18478
"Welcome to the Gunks","e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799065/welcome-to-the-gunks,3.8,-1,Trad,"5.10b PG13",1,95,41.73936,-74.18421
"CCK Direct","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801940/cck-direct,3.8,-1,Trad,"5.9 PG13",2,240,41.74396,-74.17964
Directissima,"i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799563/directissima,3.7,-1,Trad,5.9,2,120,41.74421,-74.179
"Modern Times","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799085/modern-times,3.7,-1,Trad,5.8+,2,250,41.74396,-74.17964
"Carbs and Caffeine","j. The Yellow Wall and The Seasons > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105798933/carbs-and-caffeine,3.7,-1,Trad,5.11a,2,140,41.74756,-74.17576
"10,000 Restless Virgins","l. Sleepy Hollow > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799068/10000-restless-virgins,3.8,-1,Trad,5.10d,1,100,41.75034,-74.17373
"Graveyard Shift","e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799062/graveyard-shift,3.8,-1,Trad,"5.10d PG13",1,80,41.73936,-74.18421
"The Golden Dream","s. The Golden Wall > Peterskill > The Gunks > New York",https://www.mountainproject.com/route/105899731/the-golden-dream,3.7,-1,"Trad, TR",5.9,1,70,41.73904,-74.21411
"Erect Direction","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799041/erect-direction,3.7,-1,Trad,5.10c,3,300,41.74396,-74.17964
"Ants' Line","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105803260/ants-line,3.6,-1,Trad,5.9,1,80,41.74421,-74.179
"Feast of Fools","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799568/feast-of-fools,3.6,-1,Trad,5.10b,2,250,41.74396,-74.17964
"Yellow Ridge","a. Beginning of cliff to Gelsa > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799421/yellow-ridge,3.6,-1,Trad,5.7,3,200,41.73517,-74.19463
"Falled on Account of Strain","k. The Slime Wall > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799072/falled-on-account-of-strain,3.7,-1,Trad,5.10b,2,160,41.74928,-74.1749
"Bird Cage","b. Gelsa to Moe (closure) > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799578/bird-cage,3.7,-1,Trad,5.10b,1,100,41.73294,-74.19626
MF,"e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799143/mf,3.6,-1,Trad,5.9,2,180,41.73936,-74.18421
"Double Crack","j. The Yellow Wall and The Seasons > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105806583/double-crack,3.6,-1,Trad,5.8,1,150,41.74756,-74.17576
Coexistence,"e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799053/coexistence,3.6,-1,Trad,5.10d,1,60,41.73936,-74.18421
Horseman,"a1. The Uberfall - left > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799721/horseman,3.5,-1,Trad,5.5,1,120,41.737,-74.18943
"Stirrup Trouble","b. Jackie and friends > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105803228/stirrup-trouble,3.6,-1,Trad,"5.10b/c PG13",1,70,41.73755,-74.18693
"Teeny Face","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/106733193/teeny-face,3.6,-1,Trad,5.10a,2,120,41.74421,-74.179
"Le Teton","f. The Guides' Wall (Madame G's) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105841807/le-teton,3.6,-1,Trad,5.9+,1,50,41.74053,-74.18289
"Something Interesting","e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799118/something-interesting,3.5,-1,Trad,5.7+,2,200,41.73936,-74.18421
"Face to Face","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/106089261/face-to-face,3.6,-1,Trad,5.10b,3,270,41.74396,-74.17964
