Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Amarillo Sunset,North 40 > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106286394/amarillo-sunset,3.9,-1,Sport,5.11b,1,65,37.6523,-83.7082
Witness the Citrus,Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110356279/witness-the-citrus,3.9,-1,Sport,5.11c,1,95,37.64504,-83.67849
Twinkie,Phantasia > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106132213/twinkie,3.8,-1,Sport,5.12a,1,80,37.84495,-83.64369
Banshee,The Solarium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106333612/banshee,3.9,-1,Sport,5.11c,1,100,37.73372,-83.63884
Swedish Fish,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108043545/swedish-fish,3.9,-1,Sport,5.12a,1,110,37.64919,-83.71343
The Gift,Long Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105917897/the-gift,3.8,-1,Sport,5.12a,1,70,37.8446,-83.6686
The Return of Chris Snyder,Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106020821/the-return-of-chris-snyder,3.8,-1,Sport,5.11d,1,100,37.73151,-83.65679
Breakfast Burrito,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106081922/breakfast-burrito,3.7,-1,Sport,5.10c/d,1,80,37.65292,-83.72495
A Brief History of Climb,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,3.7,-1,Sport,5.10b,1,75,37.65292,-83.71772
Check Your Grip,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106081909/check-your-grip,3.8,-1,Sport,5.12a,1,80,37.65292,-83.72495
No Place Like Home,Emerald City > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870227/no-place-like-home,3.8,-1,Sport,5.11c,1,100,37.75195,-83.66364
All Things Considered,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106641238/all-things-considered,3.8,-1,Sport,5.11d,1,55,37.8159,-83.66918
King Me,Eastern Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105964688/king-me,3.8,-1,Sport,5.11b,1,90,37.81596,-83.58104
Ro Shampo,Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860759/ro-shampo,3.7,-1,Sport,5.12a,1,60,37.73151,-83.65679
Whip-Stocking,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106081917/whip-stocking,3.7,-1,Sport,5.11a,1,80,37.65292,-83.72495
Dogleg,Bob Marley > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106290553/dogleg,3.8,-1,Sport,5.12a,1,90,37.65194,-83.72328
Snozzberries,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108411358/snozzberries,3.7,-1,Sport,5.11d,1,80,37.64919,-83.71343
Hakuna Matata,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107329629/hakuna-matata,3.7,-1,Sport,5.12a,1,80,37.65292,-83.72495
The Infidel,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107122332/the-infidel,3.8,-1,Sport,5.11d,1,75,37.8029,-83.5762
Air Ride Equipped,The Solarium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106586504/air-ride-equipped,3.6,-1,Sport,5.11a,1,65,37.73372,-83.63884
Gold Rush,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106980972/gold-rush,3.8,-1,Sport,5.11d,1,70,37.65292,-83.71772
27 Years of Climbing,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106125099/27-years-of-climbing,3.6,-1,Sport,5.8,1,65,37.65292,-83.71772
Dave the Dude,Eastern Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106169442/dave-the-dude,3.8,-1,Sport,5.11d,1,70,37.81596,-83.58104
Bathtub Mary,The Arsenal > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106862482/bathtub-mary,3.7,-1,Sport,5.11a,1,70,37.73348,-83.63984
Random Precision,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106577204/random-precision,3.7,-1,Sport,5.11b,1,60,37.65292,-83.71772
Starry Night,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/112289818/starry-night,3.5,-1,Sport,5.11d,1,60,37.65292,-83.71772
Yellow Brick Road,Emerald City > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870649/yellow-brick-road,3.7,-1,Sport,5.11b,1,50,37.75195,-83.66364
Delicatessen,The Solarium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108867060/delicatessen,3.6,-1,Sport,5.12a/b,1,85,37.73372,-83.63884
Eye of the Needle,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106282978/eye-of-the-needle,3.7,-1,Sport,5.11b,1,85,37.8029,-83.5762
Bandolier,Torrent Falls (Limited Access) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105918062/bandolier,3.7,-1,Sport,5.11a,1,70,37.71998,-83.66294
Fire and Brimstone,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106081931/fire-and-brimstone,3.6,-1,Sport,5.10d,1,90,37.65292,-83.72495
Buddha Hole,Solar Collector/Gold Coast > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106920312/buddha-hole,3.6,-1,Sport,5.11d,1,75,37.6775,-83.73409
EGBG,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108766319/egbg,3.6,-1,Sport,5.10a,1,90,37.64919,-83.71343
Jew Jew Fruit,Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110889566/jew-jew-fruit,3.6,-1,Sport,5.10c,1,75,37.64504,-83.67849
K.S.B.,The Shire > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106885779/ksb,3.6,-1,Sport,5.10d,1,60,37.65214,-83.70995
Hippocrite,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106126244/hippocrite,3.6,-1,Sport,5.12a,1,45,37.73387,-83.66162
Toker,Bob Marley > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106427242/toker,3.6,-1,Sport,5.11a,1,70,37.65194,-83.72328
Too Many Puppies,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105893624/too-many-puppies,3.6,-1,Sport,5.12a,1,60,37.81449,-83.66388
Hammer Time,Serenity Point > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110356289/hammer-time,3.7,-1,Sport,5.11b,1,70,37.64136,-83.68044
The Last Supper,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/119365746/the-last-supper,3.5,-1,Sport,5.11a,1,90,37.65292,-83.71772
Lightning Rod Arete,Velo Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/112216544/lightning-rod-arete,3.6,-1,Sport,5.10c/d,1,70,37.64552,-83.71831
Break the Scene,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106924124/break-the-scene,3.6,-1,Sport,5.12a,1,50,37.65292,-83.71772
Crown of Thorns,The Bright Side > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107941261/crown-of-thorns,3.6,-1,Sport,5.11c,1,80,37.67859,-83.73568
Pogue Ethics,Phantasia > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106149020/pogue-ethics,3.5,-1,Sport,5.9+,1,80,37.84495,-83.64369
There Goes the Neighborhood,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106283004/there-goes-the-neighborhood,3.6,-1,Sport,5.11c,1,95,37.8029,-83.5762
Tesseract,The Portal > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110969192/tesseract,3.6,-1,Sport,5.10d,1,55,37.64698,-83.67826
Sundial,Serenity Point > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111688212/sundial,3.6,-1,Sport,5.11a,1,90,37.64136,-83.68044
Prime Directive,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105869244/prime-directive,3.6,-1,Sport,5.11b,1,100,37.8029,-83.5762
Super Dario,Eastern Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106121898/super-dario,3.6,-1,Sport,5.11a,1,70,37.81596,-83.58104
Brachial Plexus,The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111170541/brachial-plexus,3.5,-1,Sport,5.11d,1,80,37.64186,-83.68375
Monkey in the Middle,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106127925/monkey-in-the-middle,3.5,-1,Sport,5.11a,1,80,37.73387,-83.66162
The Preacher's Daughter,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107879859/the-preachers-daughter,3.6,-1,Sport,5.11a/b,1,70,37.65292,-83.71772
