Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Big Bad Wolf","Riding Hood Wall > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107339211/big-bad-wolf,3.1,-1,Sport,5.9,3,220,36.14947,-115.42673
"Unimpeachable Groping","Ginger Buttress > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732431/unimpeachable-groping,3.5,-1,Sport,5.10b,7,760,36.11213,-115.48829
"Running Man","Running Man Wall > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732401/running-man,3.9,-1,Sport,5.11c,1,120,36.16016,-115.4423
"Sonic Youth","Lower Tier > Sonic Youth Cliff > Wake Up Wall Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105884624/sonic-youth,3.8,-1,Sport,5.11d,1,60,36.16602,-115.45317
"Mr Choad's Wild Ride","Sunny and Steep > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,3.6,-1,Sport,5.11b,1,105,36.16986,-115.42321
"Fear and Loathing, III","Wall of Confusion > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105808935/fear-and-loathing-iii,3.6,-1,Sport,5.12a,1,70,36.15702,-115.43904
Lunatic,"The Fringe > Ash Canyon > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107612092/lunatic,3.7,-1,Sport,5.11b,1,95,36.16162,-115.43509
"Synapse Collapse","Cannabis Crag > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106060618/synapse-collapse,3.7,-1,Sport,5.11d,1,35,36.16728,-115.4179
"Yaak Crack","The Gallery > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732374/yaak-crack,3.6,-1,Sport,5.11c,1,70,36.15672,-115.43841
Flameblower,"Stratocaster Area > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107431251/flameblower,3.6,-1,Sport,5.10d,1,95,36.15852,-115.4401
"Steep Thrills","Sunny and Steep > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732686/steep-thrills,3.5,-1,Sport,5.12a,1,,36.16986,-115.42321
"Sunny and Steep","Sunny and Steep > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105891002/sunny-and-steep,3.5,-1,Sport,5.11d,1,50,36.16986,-115.42321
"Caustic Cock","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105820098/caustic-cock,3.4,-1,Sport,5.11b,1,40,36.14903,-115.42296
KGB,"Cannabis Crag > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106060626/kgb,3.6,-1,Sport,5.12a,1,60,36.16728,-115.4179
"Glitter Gulch","Sweet Pain Wall > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105788000/glitter-gulch,3.5,-1,Sport,5.11a,1,65,36.15597,-115.43663
"Sweet Pain","Sweet Pain Wall > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732530/sweet-pain,3.4,-1,Sport,5.11d,1,50,36.15597,-115.43663
"Gimme Back My Bullets","Sunny and Steep > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105916629/gimme-back-my-bullets,3.5,-1,Sport,5.12a,1,50,36.16986,-115.42321
"Pain Check","The Wake-Up Wall > Wake Up Wall Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106035672/pain-check,3.5,-1,Sport,5.12a,1,50,36.16724,-115.45361
Snagglepuss,"Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108781019/snagglepuss,3.5,-1,Sport,5.11a,1,80,36.14645,-115.42297
"The Grind","Sweet Pain Wall > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105939418/the-grind,3.4,-1,Sport,5.11b,1,65,36.15597,-115.43663
"Under the Boardwalk","The Pier > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813238/under-the-boardwalk,3.4,-1,Sport,5.11a,1,50,36.1607,-115.44627
"Divine Comedy","Dante's Wall > (03) First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/109868733/divine-comedy,3.3,-1,Sport,5.10a,1,65,36.14497,-115.42471
"When the Cat's Away","Holiday Wall > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105913032/when-the-cats-away,3.4,-1,Sport,5.11b,1,40,36.16286,-115.44137
"Marshall Amp","Stratocaster Area > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813493/marshall-amp,3.4,-1,Sport,5.11b,1,105,36.15852,-115.4401
Paralyzed,"Alternative Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106421508/paralyzed,3.4,-1,Sport,5.11b,1,50,36.15633,-115.43093
