Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Nose","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105924807/the-nose,3.9,-1,"Trad, Aid","5.9 C2",31,3000,37.73051,-119.63828
"Snake Dike","3. Southwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105836362/snake-dike,3.6,-1,Trad,"5.7 R",8,2000,37.73971,-119.54003
"Regular Northwest Face of Half Dome (RNWF)","1. Northwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome-rnwf,3.9,-1,"Trad, Aid","5.9 C1",23,2200,37.74685,-119.5336
"Southeast Buttress","Southeast Slopes > Cathedral Peak > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105835705/southeast-buttress,3.8,-1,"Trad, Alpine",5.6,5,700,37.84705,-119.40453
Freerider,"2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106261545/freerider,3.9,-1,Trad,"5.13a PG13",30,3300,37.73051,-119.63828
"Salathé Wall","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106154042/salathe-wall,4.0,-1,"Trad, Aid","5.9 C2",35,3500,37.73051,-119.63828
Astroman,"I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105845493/astroman,4.0,-1,Trad,5.11c,10,1000,37.74778,-119.559
"Matthes Crest Traverse - South to North","Matthes Crest > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106008982/matthes-crest-traverse-south-to-north,3.9,-1,"Trad, Alpine",5.7,1,2500,37.8186,-119.3992
"The North Face","Ba. The Rostrum > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105863822/the-north-face,4.0,-1,Trad,5.11c,8,700,37.71848,-119.70799
"*CLOSED FOR SAFETY* Sons of Yesterday","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862915/closed-for-safety-sons-of-yesterday,3.9,-1,Trad,5.10-,6,600,37.74873,-119.57265
"Separate Reality","Ak. Wildcat Falls & Above the Cookie > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874590/separate-reality,4.0,-1,Trad,5.12a,1,50,37.7202,-119.71946
"*CLOSED FOR SAFETY * Serenity Crack","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862912/closed-for-safety-serenity-crack,3.9,-1,Trad,"5.10d PG13",3,350,37.74873,-119.57265
"Central Pillar of Frenzy","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862930/central-pillar-of-frenzy,3.8,-1,Trad,5.9,5,500,37.7165,-119.6363
"Tenaya, Matthes, Cathedral Traverse","Cathedral Range Enchainments > Cathedral Range > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107677399/tenaya-matthes-cathedral-traverse,4.0,-1,"Trad, Alpine",5.7,1,4700,37.82733,-119.37442
"West Ridge","Mt. Conness > Glen Aulin Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106167844/west-ridge,3.8,-1,"Trad, Alpine",5.6,10,1500,37.96688,-119.32128
Steck-Salathe,"M. Sentinel Rock > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862873/steck-salathe,3.8,-1,Trad,5.10-,15,,37.72958,-119.59381
Freeblast,"2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105991737/freeblast,3.6,-1,Trad,5.11,10,950,37.73051,-119.63828
Oz,"Drug Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105862944/oz,3.9,-1,Trad,5.10d,5,600,37.86461,-119.42215
"The Nutcracker Suite (aka Nutcracker)","5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833505/the-nutcracker-suite-aka-nutcracker,3.6,-1,Trad,5.8,5,500,37.73059,-119.619
"Regular Route","North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105847227/regular-route,3.7,-1,Trad,5.9,12,1000,37.87279,-119.40427
Butterballs,"The Cookie Cliff > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105936538/butterballs,3.9,-1,Trad,5.11c,1,80,37.71772,-119.71881
"Royal Arches (5.10- or 5.7 A0)","Central Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,3.4,-1,"Trad, Aid","5.10- A0",15,2000,37.74724,-119.57128
"Mr. Natural","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105954972/mr-natural,3.9,-1,Trad,5.10+,1,160,37.7337,-119.56956
