Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Moonlight Buttress (Free)","Moonlight Buttress > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106138026/the-moonlight-buttress-free,3.9,-1,Trad,5.12c,10,1200,37.27785,-112.94955
"The Moonlight Buttress (Clean Aid)","Moonlight Buttress > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717718/the-moonlight-buttress-clean-aid,3.7,-1,"Trad, Aid","5.8 C1",10,1200,37.27785,-112.94955
Namaste,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717892/namaste,3.9,-1,Sport,5.11d,1,140,37.45133,-113.16338
"Shune's Buttress","Red Arch Mountain > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105880156/shunes-buttress,3.9,-1,Trad,5.11+,8,800,37.25533,-112.94913
"The Headache","Headache Area > Mount Carmel Tunnel > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105718186/the-headache,3.9,-1,Trad,5.10,3,380,37.21139,-112.95855
Smashmouth,"The Confluence > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106754188/smashmouth,3.9,-1,Trad,5.11,4,400,37.21192,-112.97002
"Huecos Rancheros","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105718117/huecos-rancheros,3.9,-1,Sport,5.12b,1,150,37.45133,-113.16338
"1/2 Route","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717895/12-route,3.7,-1,Sport,5.10+,1,80,37.45133,-113.16338
"Desert Shield","Desert Shield Buttress > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717934/desert-shield,3.8,-1,"Trad, Aid","5.11a C3",9,1000,37.27624,-112.94516
"Touchstone Wall","Cerberus Gendarme > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717787/touchstone-wall,3.7,-1,"Trad, Aid","5.10a/b C2",8,820,37.27435,-112.94437
Monkeyfinger,"Temple of Sinawava > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717820/monkeyfinger,3.8,-1,Trad,5.12,9,900,37.28494,-112.94922
"Crimson King","The Confluence > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106775128/crimson-king,3.8,-1,Trad,5.11c,1,90,37.21192,-112.97002
"Dost Mitra","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/107312510/dost-mitra,3.7,-1,Sport,5.11a/b,1,100,37.45133,-113.16338
"Enter The Dragon","Kung Fu Theater > Mount Carmel Tunnel > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/107963789/enter-the-dragon,3.7,-1,Sport,5.11-,2,250,37.21267,-112.96644
"Ashtar Command","Ataxia Tower > Mount Carmel Tunnel > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105792804/ashtar-command,3.5,-1,Trad,5.9,2,250,37.21191,-112.96193
"Fails of Power","Cerberus Gendarme > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105792792/fails-of-power,3.6,-1,Trad,5.11c,2,80,37.27435,-112.94437
"Inner Chi","Kung Fu Theater > Mount Carmel Tunnel > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106775164/inner-chi,3.6,-1,Trad,5.11c,1,90,37.21267,-112.96644
"Led by Sheep","Aries Butte > East Side > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106368738/led-by-sheep,3.1,-1,Trad,5.6,4,800,37.23167,-112.90746
"Squeeze Play","Cerberus Gendarme > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105792795/squeeze-play,3.5,-1,Trad,5.10a,1,80,37.27435,-112.94437
"Cherry Crack","Cerberus Gendarme > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105792767/cherry-crack,3.3,-1,Trad,5.10c,2,140,37.27435,-112.94437
"Iron Messiah","Spearhead > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717823/iron-messiah,3.3,-1,Trad,5.10b,10,1000,37.25837,-112.95726
