RouteName,Location,URL,Avg Stars,Route Type,Rating
Squid Kid,3. Trailhead Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105755872/squid-kid,3.5,Sport,5.10a
The Gusty Prow (Trooper Traverse extension...),5b. Summit Dome > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/106805414/the-gusty-prow-trooper-traverse-extension,3,"Trad, Sport",5.10a
50 Yard Dash,Olympic Wall > Outrageous Overhangs Area > Independence Pass > Colorado,https://www.mountainproject.com/route/105861706/50-yard-dash,2.8,"Trad, Sport",5.10a
Kung Pao Kitty,Upper Bulldog Cliff > Upper Boulderfield Area > Independence Pass > Colorado,https://www.mountainproject.com/route/107688879/kung-pao-kitty,3,Sport,5.10a
Nothin' Butt a Rainy Day Thang,Morning Glory Wall > Keystone a.k.a. Montezuma > Colorado,https://www.mountainproject.com/route/117743832/nothin-butt-a-rainy-day-thang,3,Sport,5.10a
Black Pearl,Lost Wall > Loveland Pass Area > Keystone a.k.a. Montezuma > Colorado,https://www.mountainproject.com/route/119374413/black-pearl,3,"Sport, TR",5.10a
Depends,Bob's Rock > Buena Vista > Colorado,https://www.mountainproject.com/route/106407011/depends,3,Sport,5.10a
It Looks like Heaven,Turbo Big Tower > Buena Vista > Colorado,https://www.mountainproject.com/route/106475041/it-looks-like-heaven,3.2,Sport,5.10a/b
Shout at the Devil,Devil's Gate > Devil's Gate Sector > Devil's Head > South Platte > Colorado,https://www.mountainproject.com/route/110344944/shout-at-the-devil,2.8,Sport,5.10a
Cash Only,Southern Sun Spire > Sawblade Ridge > Devil's Head > South Platte > Colorado,https://www.mountainproject.com/route/120867465/cash-only,3.5,Sport,5.10a
Junior Jules Doinks a Digit,Turret Dome > Elevenmile Canyon > South Platte > Colorado,https://www.mountainproject.com/route/107156277/junior-jules-doinks-a-digit,3.2,Sport,5.10a/b
Archangel,Messenger Wall > Elevenmile Canyon > South Platte > Colorado,https://www.mountainproject.com/route/107792435/archangel,3.3,Sport,5.10a
Jo Bubba,Snake Buttress > Cathedral Spires Area > South Platte > Colorado,https://www.mountainproject.com/route/106250178/jo-bubba,3,Sport,5.10a
Celebrating Nothing,Inferno Slab > Goose Creek/Molly Gulch Campground > South Platte > Colorado,https://www.mountainproject.com/route/118132546/celebrating-nothing,3.1,Sport,5.10-
The Flight of the Rooster,The Labyrinth > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/125107048/the-flight-of-the-rooster,3,Sport,5.10a
Reef On It!,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108152210/reef-on-it,3.4,Sport,5.10-
Restaurant At The End Of The Universe,3. Astronomy Wall > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113532141/restaurant-at-the-end-of-the-universe,3,Sport,5.10a
Unknown 10-,Chicken Rock > Valley of The Chickens > Badger Flats > Badger Mountain > South Platte > Colorado,https://www.mountainproject.com/route/124978637/unknown-10,3,Sport,5.10-
Aleve in Yourself,The Egg > Valley of The Chickens > Badger Flats > Badger Mountain > South Platte > Colorado,https://www.mountainproject.com/route/118955780/aleve-in-yourself,3,Sport,5.10a
Menace to Sobriety,Upper Feral > Badger Flats > Badger Mountain > South Platte > Colorado,https://www.mountainproject.com/route/122499829/menace-to-sobriety,4,Sport,5.10a
Calindito,Spruce It Up > Tarryall > South Platte > Colorado,https://www.mountainproject.com/route/122682708/calindito,3,Sport,5.10a
Diagonal Rollover,Spruce It Up > Tarryall > South Platte > Colorado,https://www.mountainproject.com/route/118800112/diagonal-rollover,3,Sport,5.10a
Persistent Vegetative State,Little Eiger > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105764160/persistent-vegetative-state,3.1,Sport,5.10a/b
Pretty Woman,Wall of the '90s > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/106274771/pretty-woman,2.8,Sport,5.10a
Ugoogoly,The Graveyard > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/114012513/ugoogoly,2.8,Sport,5.10-
Stickin' It To The Man,Winter Warmer Area > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/106087318/stickin-it-to-the-man,3,Sport,5.10a
Gomers in Blue Shirts,The Whale > Red Rock Canyon Open Space > Colorado Springs > Colorado,https://www.mountainproject.com/route/107070082/gomers-in-blue-shirts,3,Sport,5.10a
Tava,Solar Slab > Red Rock Canyon Open Space > Colorado Springs > Colorado,https://www.mountainproject.com/route/105874342/tava,2.9,Sport,5.10a/b
Re-Thinking the Ethics,Ripple Wall > Red Rock Canyon Open Space > Colorado Springs > Colorado,https://www.mountainproject.com/route/106144580/re-thinking-the-ethics,3,Sport,5.10a
War Pigs,The Pigtail > Bear Creek Cañon Park > Colorado Springs > Colorado,https://www.mountainproject.com/route/125925053/war-pigs,4,Sport,5.10a
The Scepter,The Scepter > The Palace > Poudre Canyon > Fort Collins > Colorado,https://www.mountainproject.com/route/105911572/the-scepter,3,Sport,5.10a
The Pony,Main Wall - Left Side > Sheep Mountain > The Narrows > Poudre Canyon > Fort Collins > Colorado,https://www.mountainproject.com/route/115959536/the-pony,2.9,Sport,5.10a
Ground Control (The Titanic),Main Wall > Low Hanging Fruit Crag > Poudre Canyon > Fort Collins > Colorado,https://www.mountainproject.com/route/120775135/ground-control-the-titanic,2.9,Sport,5.10a
Mossy Moe,The Overlook (Arthur's Rock) > Arthur's Rock > Lory State Park > Fort Collins > Colorado,https://www.mountainproject.com/route/116999672/mossy-moe,2.9,"Sport, TR",5.10-
BVB American Hero (submitted as New Dihedral),Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado,https://www.mountainproject.com/route/117017630/bvb-american-hero-submitted-as-new-dihedral,3.1,Sport,5.10a
Scary Carrie,Contest Wall > Sand Gulch > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/112557064/scary-carrie,2.8,Sport,5.10a/b
Block Party,Mural Wall > The Gallery > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/105755851/block-party,2.9,Sport,5.10a
The Sun Always Shines on TV,Quarry Wall at the Bank > The Bank > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/116762731/the-sun-always-shines-on-tv,2.9,Sport,5.10-
Everything But The Girl,Quarry Wall at the Bank > The Bank > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/116763766/everything-but-the-girl,2.9,Sport,5.10a/b
jasonbecker.com,01. Piggy Bank > The Bank > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/106169770/jasonbeckercom,3.3,Sport,5.10a/b
Chronic Sneezer,12. Beijing > The Bank > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/125913314/chronic-sneezer,3,Sport,5.10a
Crimp and Punishment,The Gym > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/116665168/crimp-and-punishment,3,Sport,5.10a
High Heeled Tittty Twister,E. Cactus Cliff Far Right (Funkdemental and right) > Cactus Cliff > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/105754630/high-heeled-tittty-twister,3,Sport,5.10-
27 Tons,The Dark Side > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/106004015/27-tons,2.8,Sport,5.10a
Toxxxic Entertainment,Spiney Ridge > Shelf Road > Canon City > Colorado,https://www.mountainproject.com/route/105759594/toxxxic-entertainment,3.1,Sport,5.10a
Little Light Spire: East Face,Area 66 > Phantom Canyon > Canon City > Colorado,https://www.mountainproject.com/route/118811876/little-light-spire-east-face,3,Sport,5.10a
The Tower,Tarot Wall > Second Tier > Avalon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761340/the-tower,2.9,Sport,5.10a
Tese,Witches' Tower > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764685/tese,3,Sport,5.10-
Mr. Sandman,Left Side > Plotinus Wall > Lower Dream Canyon > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764985/mr-sandman,2.9,Sport,5.10a
The Sector,Turtle Dome > Upper Dream Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106367949/the-sector,3,Sport,5.10a
12 Parsecs,Millennium Harvest House > City of Boulder Buildering > Boulder > Colorado,https://www.mountainproject.com/route/121772784/12-parsecs,4,Sport,5.10a/b X
Bashful,The Ledges > Beige Tube Area / The Narrows > Big Thompson Canyon > Estes Park Valley > Colorado,https://www.mountainproject.com/route/115339774/bashful,3.1,Sport,5.10a/b
Channel Surfing,Subskull > Skull Rock Area > Palisade Mountain > Big Thompson Canyon > Estes Park Valley > Colorado,https://www.mountainproject.com/route/116717057/channel-surfing,2.8,Sport,5.10a
Direct Hit,"Half & Half Crag > Woodstone, Half & Half, and Slot Rock > The Crags > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/117729732/direct-hit,2.8,Sport,5.10a
Midlife Crisis,Tanner Dome > Oak Creek Canyon > The Wet Mountains > Colorado,https://www.mountainproject.com/route/107339676/midlife-crisis,3,"Trad, Sport",5.10a
Subpar,Pup Tent of Solitude > Main Elk Creek > Glenwood Springs > Colorado,https://www.mountainproject.com/route/111941682/subpar,3,Sport,5.10a
Mary Had a Little Lamb,Main Elk Crag > Main Elk Creek > Glenwood Springs > Colorado,https://www.mountainproject.com/route/114424029/mary-had-a-little-lamb,2.9,Sport,5.10a
Pocket Reference,Four Blocks Crag > Nine Mile Roped > Nine Mile Hill > Unaweep Canyon > Grand Junction Area > Colorado,https://www.mountainproject.com/route/107147755/pocket-reference,3,Sport,5.10a
RSG,Other Mothers > Mother's Buttress > Main Canyon: Unaweep Granite > Unaweep Canyon > Grand Junction Area > Colorado,https://www.mountainproject.com/route/107626741/rsg,3,Sport,5.10a/b
Unknown Pillar,Sunday Wall > The Access Fund Trailhead > Main Canyon: Unaweep Granite > Unaweep Canyon > Grand Junction Area > Colorado,https://www.mountainproject.com/route/107485041/unknown-pillar,3.6,"Trad, Sport",5.10-
So Brutal,Land's End Wall > Land's End Area > Grand Mesa > Grand Junction Area > Colorado,https://www.mountainproject.com/route/107685757/so-brutal,3,Sport,5.10-
Mass Wasting,Paleosol Wall > Land's End Area > Grand Mesa > Grand Junction Area > Colorado,https://www.mountainproject.com/route/107881026/mass-wasting,3,Sport,5.10a
Ft Mac Gravy Train,Paleosol Wall > Land's End Area > Grand Mesa > Grand Junction Area > Colorado,https://www.mountainproject.com/route/108210925/ft-mac-gravy-train,3.8,"Trad, Sport",5.10a
Jungle Gym,Paleosol Wall > Land's End Area > Grand Mesa > Grand Junction Area > Colorado,https://www.mountainproject.com/route/108263852/jungle-gym,3.1,Sport,5.10a/b
Fountain of Decay,Kannah Creek Wall > Land's End Area > Grand Mesa > Grand Junction Area > Colorado,https://www.mountainproject.com/route/108211138/fountain-of-decay,3,"Trad, Sport",5.10- PG13
The Edge of Magic,Dr. C’s Classroom > Land's End Area > Grand Mesa > Grand Junction Area > Colorado,https://www.mountainproject.com/route/121253052/the-edge-of-magic,3,Sport,5.10-
Buddha's Belly,Buddha's Belly Wall > Hartman Rocks > Gunnison > Colorado,https://www.mountainproject.com/route/105757453/buddhas-belly,3.1,"Sport, TR",5.10a/b
"13 Bolt (Ride Hard, Die Free)",13 Bolt Wall > Spring Creek > Gunnison > Colorado,https://www.mountainproject.com/route/112244126/13-bolt-ride-hard-die-free,3.5,Sport,5.10-
Carlin,The Funny Face > Ice Cave Walls > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/106231707/carlin,2.8,Sport,5.10a
Merry Maids,Middle Ice Caves (Potato Routes) > Ice Cave Walls > Rifle Mountain Park > Rifle > Colorado,https://www.mountainproject.com/route/105753394/merry-maids,2.9,Sport,5.10a
5.10-,Shade Wall Cliff > Gilman Canyon > Eagle/Vail/Minturn/Red Cliff > Colorado,https://www.mountainproject.com/route/123021378/510,3,Sport,5.10-
Three's a Charm,Homestake Road Crag > Eagle/Vail/Minturn/Red Cliff > Colorado,https://www.mountainproject.com/route/106931165/threes-a-charm,2.9,Sport,5.10-
Route 2,The Aircraft Carrier > Eagle/Vail/Minturn/Red Cliff > Colorado,https://www.mountainproject.com/route/112267926/route-2,3,Sport,5.10a
Bat Face,The Juggernaut Area > Castlewood Canyon SP > Denver South > Colorado,https://www.mountainproject.com/route/105748062/bat-face,2.9,Sport,5.10a
Day of Delight,East Juni > Juniper Pass > Morrison/Evergreen/Littleton > Colorado,https://www.mountainproject.com/route/122424783/day-of-delight,2.8,Sport,5.10a
Ethic of Eden,East Juni > Juniper Pass > Morrison/Evergreen/Littleton > Colorado,https://www.mountainproject.com/route/122424703/ethic-of-eden,3,Sport,5.10a/b
