Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Predator,"Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/105884551/predator,3.9,-1,Sport,5.13b,1,,43.80293,-71.83513
"Giant Man","The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/106011340/giant-man,3.9,-1,Sport,5.12b/c,1,90,43.80505,-71.84309
"Flying Hawaiian","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105910536/flying-hawaiian,3.8,-1,Sport,5.11b,1,,43.80386,-71.84091
Technosurfing,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867836/technosurfing,3.8,-1,Sport,5.12b,1,60,43.80386,-71.84091
"Whip Tide","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105868994/whip-tide,3.8,-1,Sport,5.12b,1,75,43.80386,-71.84091
"The Crusher","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106200868/the-crusher,3.8,-1,Sport,5.11d,1,80,43.80293,-71.83513
Waimea,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867858/waimea,3.7,-1,Sport,5.10d,1,50,43.80386,-71.84091
"Flying Monkeys","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106579917/flying-monkeys,3.7,-1,Sport,5.12c,1,65,43.80293,-71.83513
"Lonesome Dove","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105879126/lonesome-dove,3.6,4,Sport,5.10a,1,,43.80417,-71.84037
"Flesh For Lulu","Holderness Corner > The Meadows > *Rumney > New Hampshire",https://www.mountainproject.com/route/105908632/flesh-for-lulu,3.6,-1,Sport,5.12b,1,,43.8024,-71.8314
"Millenium Falcon","The Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/106021168/millenium-falcon,3.6,-1,Sport,5.10c,1,75,43.80249,-71.83593
