Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
11/20/23,Fodiqua,5.9,,https://www.mountainproject.com/route/111085196/fodiqua,1,Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Serenity Point,2.9,-1,Lead,Onsight,Sport,,80,2400
11/20/23,Lithuanian Princess,5.10a,,https://www.mountainproject.com/route/110334995/lithuanian-princess,1,Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Chaos,3,-1,Lead,Flash,Sport,,40,2600
11/18/23,The Preacher's Daughter,5.11a/b,,https://www.mountainproject.com/route/107879859/the-preachers-daughter,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.6,-1,TR,,Sport,,70,4800
11/18/23,A Brief History of Climb,5.10b,,https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.7,-1,Lead,Fell/Hung,Sport,,75,2900
11/18/23,Dynabolt Gold,5.10a,,https://www.mountainproject.com/route/106422472/dynabolt-gold,1,Kentucky > Red River Gorge > Muir Valley > The Great Wall,3.1,-1,TR,,Sport,,70,2600
11/18/23,Bitter Ray of Sunshine,5.10b,,https://www.mountainproject.com/route/106451181/bitter-ray-of-sunshine,1,Kentucky > Red River Gorge > Muir Valley > The Great Wall,2.9,-1,Lead,Flash,Sport,,55,2900
11/18/23,Thrillbillies,5.10b,,https://www.mountainproject.com/route/107250835/thrillbillies,1,Kentucky > Red River Gorge > Muir Valley > Slab City,3.2,4,Lead,Redpoint,Sport,,90,2900
11/18/23,Momma Cindy,5.11a,,https://www.mountainproject.com/route/106915673/momma-cindy,1,Kentucky > Red River Gorge > Muir Valley > The Great Wall,3.1,-1,Lead,Flash,Sport,,70,4600
10/23/22,Disneyland,5.6,,https://www.mountainproject.com/route/105799486/disneyland,2,New York > The Gunks > The Near Trapps > a. Beginning of cliff to Gelsa,3.2,3,Lead,Onsight,Trad,,155,1600
10/8/22,Loose Goose,5.6,,https://www.mountainproject.com/route/105811307/loose-goose,2,New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure),2.3,-1,Lead,Onsight,Trad,,200,1600
10/8/22,Gelsa,5.4,,https://www.mountainproject.com/route/105799482/gelsa,3,New York > The Gunks > The Near Trapps > a. Beginning of cliff to Gelsa,3.5,-1,Lead,Flash,Trad,,195,1400
9/18/22,The Terrace,5.8,,https://www.mountainproject.com/route/105878180/the-terrace,1,New Hampshire > *Rumney > 5.8 Crag,1.3,-1,Lead,Flash,Sport,,30,2100
9/18/22,Bolt And Run,5.9,,https://www.mountainproject.com/route/105922323/bolt-and-run,1,New Hampshire > *Rumney > 5.8 Crag,2.3,-1,Lead,Fell/Hung,Sport,,,2400
9/18/22,Masterpiece,5.10a,,https://www.mountainproject.com/route/105878204/masterpiece,1,New Hampshire > *Rumney > Bonsai,3.1,-1,Lead,Onsight,Sport,,,2600
9/18/22,Oby-won Ryobi,5.9+,,https://www.mountainproject.com/route/105906887/oby-won-ryobi,1,New Hampshire > *Rumney > Darth Vader,3.1,-1,Lead,Fell/Hung,Sport,,,2500
9/18/22,Glory Jean's,5.6,,https://www.mountainproject.com/route/105961422/glory-jeans,1,New Hampshire > *Rumney > The Parking Lot Wall,2.6,-1,Lead,Flash,Sport,,40,1600
9/17/22,Gold Digger,5.8+,,https://www.mountainproject.com/route/105927100/gold-digger,1,New Hampshire > *Rumney > The Main Cliff,2.3,-1,Lead,,Sport,,,2200
9/17/22,Fat Man,5.7,,https://www.mountainproject.com/route/106058997/fat-man,1,New Hampshire > *Rumney > The Main Cliff,1.8,-1,Lead,Onsight,Sport,,30,1800
9/17/22,Green Mile,5.9,,https://www.mountainproject.com/route/106009586/green-mile,1,New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left),2.4,-1,Lead,Flash,Sport,,,2400
9/17/22,War and  Peace,5.9+,,https://www.mountainproject.com/route/105878619/war-and-peace,1,New Hampshire > *Rumney > Bonsai,2.8,-1,Lead,Onsight,Sport,,,2500
9/17/22,Metamorphosis,5.8+,,https://www.mountainproject.com/route/105959363/metamorphosis,1,New Hampshire > *Rumney > Armed and Dangerous (Main Cliff Left),3.3,-1,Lead,Onsight,Sport,,,2200
9/16/22,Underdog,5.10a,,https://www.mountainproject.com/route/105877217/underdog,1,New Hampshire > *Rumney > The Main Cliff,3.4,-1,Lead,Fell/Hung,Sport,,,2600
9/4/22,Fitschen's Folly,5.8 X,,https://www.mountainproject.com/route/106587817/fitschens-folly,1,New York > The Gunks > The Trapps > a2. The Uberfall - right,2.2,-1,TR,,"Trad, TR",,50,2100
9/4/22,Charie,5.10a X,,https://www.mountainproject.com/route/106581984/charie,1,New York > The Gunks > The Trapps > a2. The Uberfall - right,2.1,-1,TR,,TR,,35,2600
9/4/22,Boston,5.5 PG13,,https://www.mountainproject.com/route/106031901/boston,1,New York > The Gunks > The Trapps > a2. The Uberfall - right,2.2,-1,TR,,"Trad, TR",,50,1500
9/3/22,Nice Crack Climb,5.7,,https://www.mountainproject.com/route/106133727/nice-crack-climb,1,New York > The Gunks > The Trapps > a1. The Uberfall - left,2.2,-1,TR,,Trad,,70,1800
9/3/22,Black Fly,5.5,,https://www.mountainproject.com/route/106803063/black-fly,1,New York > The Gunks > The Trapps > a1. The Uberfall - left,2.1,-1,Lead,Onsight,Trad,,60,1500
8/22/22,Three Pines,5.3,,https://www.mountainproject.com/route/105799108/three-pines,3,New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting),3.1,-1,,,Trad,,160,1300
8/14/22,Jackie,5.5,,https://www.mountainproject.com/route/105812940/jackie,2,New York > The Gunks > The Trapps > b. Jackie and friends,3.1,-1,,,Trad,,160,1500
7/10/22,Yum Yum Yab Yum,5.4,,https://www.mountainproject.com/route/105800391/yum-yum-yab-yum,3,New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure),3.1,3,Lead,,Trad,,250,1400
6/12/22,Laurel,5.7,,https://www.mountainproject.com/route/105810464/laurel,1,New York > The Gunks > The Trapps > a2. The Uberfall - right,2.6,-1,Follow,,Trad,,50,1800
6/12/22,Ribs,5.4,,https://www.mountainproject.com/route/105811994/ribs,2,New York > The Gunks > The Trapps > d. Strictly - The Ceiling,2.1,-1,Follow,,Trad,,130,1400
6/12/22,Arch,5.5,,https://www.mountainproject.com/route/106227989/arch,2,New York > The Gunks > The Trapps > c. Frog's Head - the Arch,2.4,-1,Follow,,Trad,,,1500
6/12/22,City Lights,5.8-,,https://www.mountainproject.com/route/105799768/city-lights,2,New York > The Gunks > The Trapps > c. Frog's Head - the Arch,2.8,-1,Follow,,Trad,,180,2000
6/12/22,Cascading Crystal Kaleidoscope (CCK),5.8 PG13,,https://www.mountainproject.com/route/105801065/cascading-crystal-kaleidoscope-cck,3,New York > The Gunks > The Trapps > h. The Arrow Wall - CCK,3.8,-1,Follow,,Trad,,250,2100
6/12/22,Frog's Head,5.6,,https://www.mountainproject.com/route/105799771/frogs-head,2,New York > The Gunks > The Trapps > c. Frog's Head - the Arch,3.1,-1,Follow,,Trad,,160,1600
