Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
11/20/23,Fodiqua,5.9,,https://www.mountainproject.com/route/111085196/fodiqua,1,Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Serenity Point,2.9,-1,Lead,Flash,Sport,,80,2400
11/20/23,Hammer Time,5.11b,,https://www.mountainproject.com/route/110356289/hammer-time,1,Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Serenity Point,3.7,-1,Lead,Flash,Sport,,70,4900
11/20/23,Lithuanian Princess,5.10a,,https://www.mountainproject.com/route/110334995/lithuanian-princess,1,Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Chaos,3,-1,Lead,Onsight,Sport,,40,2600
11/20/23,Willy Wonka,5.11a,,https://www.mountainproject.com/route/108749213/willy-wonka,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.5,-1,TR,,Sport,,60,4600
11/19/23,Loompa,5.10+,,https://www.mountainproject.com/route/106927842/loompa,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.5,-1,TR,,Sport,,60,3300
11/19/23,Oompa,5.10b,,https://www.mountainproject.com/route/106782060/oompa,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.1,-1,Lead,Fell/Hung,Sport,,60,2900
11/18/23,Thrillbillies,5.10b,,https://www.mountainproject.com/route/107250835/thrillbillies,1,Kentucky > Red River Gorge > Muir Valley > Slab City,3.2,-1,Lead,Onsight,Sport,,90,2900
11/18/23,Air Ride Equipped,5.11a,,https://www.mountainproject.com/route/106586504/air-ride-equipped,1,Kentucky > Red River Gorge > Muir Valley > The Solarium,3.6,-1,Lead,Fell/Hung,Sport,,65,4600
11/18/23,Momma Cindy,5.11a,,https://www.mountainproject.com/route/106915673/momma-cindy,1,Kentucky > Red River Gorge > Muir Valley > The Great Wall,3.1,-1,Lead,Onsight,Sport,,70,4600
11/18/23,Bitter Ray of Sunshine,5.10b,,https://www.mountainproject.com/route/106451181/bitter-ray-of-sunshine,1,Kentucky > Red River Gorge > Muir Valley > The Great Wall,2.9,-1,Lead,Onsight,Sport,,55,2900
11/17/23,K.S.B.,5.10d,,https://www.mountainproject.com/route/106885779/ksb,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Shire,3.6,-1,Lead,Fell/Hung,Sport,,60,3500
11/16/23,Miranda Rayne,5.9,,https://www.mountainproject.com/route/106885726/miranda-rayne,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Shire,3.1,-1,Lead,Onsight,Sport,,60,2400
11/16/23,The Preacher's Daughter,5.11a/b,,https://www.mountainproject.com/route/107879859/the-preachers-daughter,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.6,-1,TR,,Sport,,70,4800
11/16/23,A Brief History of Climb,5.10b,,https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.7,-1,Lead,Onsight,Sport,,75,2900
11/16/22,757 2x4,5.7,,https://www.mountainproject.com/route/105826075/757-2x4,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Black Corridor > Upper Level > Upper Level - Right,2.3,-1,Follow,,Sport,,75,1800
11/16/22,Crude Behavior,5.9,,https://www.mountainproject.com/route/105732542/crude-behavior,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Black Corridor > Upper Level > Upper Level - Left,2.1,-1,Lead,Flash,Sport,,50,2400
11/16/22,Fools Gold,5.10a/b,,https://www.mountainproject.com/route/105849794/fools-gold,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Black Corridor > Upper Level > Upper Level - Left,2.6,-1,Lead,Flash,Sport,,55,2800
11/16/22,Vagabonds,5.10a,,https://www.mountainproject.com/route/105733016/vagabonds,1,Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.8,-1,Lead,Redpoint,Sport,,70,2600
11/16/22,The Low Road,V2,,https://www.mountainproject.com/route/111776184/the-low-road,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Red Spring Boulders > Main Cluster > Red Spring (aka Turtle Shell) Boulder,2.5,-1,Send,,Boulder,,12,20200
11/16/22,Finish Line,V5,,https://www.mountainproject.com/route/107683125/finish-line,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Red Spring Boulders > Below Moderate Mecca > Finish Line Boulder,3.3,-1,Attempt,,Boulder,,12,20500
11/16/22,St. Louis,V4-5,,https://www.mountainproject.com/route/107338317/st-louis,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Red Spring Boulders > Main Cluster > 20 Degree Wall,2.6,-1,Attempt,,Boulder,,12,20450
11/16/22,Spring Board,V3,,https://www.mountainproject.com/route/107158794/spring-board,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Red Spring Boulders > Main Cluster > Red Spring (aka Turtle Shell) Boulder,2.5,-1,Send,,Boulder,,18,20300
11/16/22,Good Times,V5-6,,https://www.mountainproject.com/route/121775062/good-times,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (04) The Pearl Area > Good Times Boulder,2.4,-1,Attempt,,Boulder,,,20550
11/16/22,The Pork Chop,V3,,https://www.mountainproject.com/route/107385804/the-pork-chop,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Gateway Canyon Boulders > The Pork Chop Boulder,3.7,-1,Attempt,,Boulder,,16,20300
11/16/22,Alexisizer,V6,,https://www.mountainproject.com/route/106657518/alexisizer,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (05) East Cluster > Alexisizer,3.6,-1,Attempt,,Boulder,,20,20600
11/16/22,Welcome to Detroit,V4,,https://www.mountainproject.com/route/116190245/welcome-to-detroit,5,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (01) West Cluster > Sorange Boulder,2.7,-1,Attempt,,Boulder,,,20400
11/16/22,Poker Chips,V0-1,,https://www.mountainproject.com/route/106650925/poker-chips,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > Potato Chip,3,-1,Flash,,Boulder,,,20050
11/16/22,Jones'n,V4+,,https://www.mountainproject.com/route/106732635/jonesn,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > Burnout Boulder,3.2,-1,Send,,Boulder,,12,20410
11/16/22,The Wave,V3,,https://www.mountainproject.com/route/113802237/the-wave,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (04) The Pearl Area > The Wave Boulder,3,-1,Flash,,Boulder,,15,20300
11/16/22,Dusty Coffee,V4,big throw,https://www.mountainproject.com/route/106732641/dusty-coffee,3,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > Burnout Boulder,2.8,-1,Attempt,,Boulder,,12,20400
11/13/22,Sorange,V3,,https://www.mountainproject.com/route/114000113/sorange,3,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (01) West Cluster > Sorange Boulder,3.5,-1,Send,,Boulder,,,20300
11/13/22,Jones'n,V4+,,https://www.mountainproject.com/route/106732635/jonesn,4,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > Burnout Boulder,3.2,-1,Attempt,,Boulder,,12,20410
11/13/22,Monkey Bar,V2,,https://www.mountainproject.com/route/106657521/monkey-bar,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (05) East Cluster > Monkey Bar Boulder,3.6,-1,Send,,Boulder,,20,20200
11/11/22,Earth Angel,V2,"mantle problem, tough! ",https://www.mountainproject.com/route/106705820/earth-angel,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > Angel Dyno,2.5,-1,Attempt,,Boulder,,8,20200
11/11/22,Butterfly Kiss,V3,small dab on cross,https://www.mountainproject.com/route/111338570/butterfly-kiss,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > Hound Dog Arete,3.2,-1,Send,,Boulder,,7,20300
11/11/22,Front Side Crack,5.8 V0 R,,https://www.mountainproject.com/route/106617793/front-side-crack,1,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > The Split Boulder,3.7,-1,Flash,,Boulder,,25,2100
11/11/22,The Prowler,V5,toe hook w/ right. matched left and right on left arete,https://www.mountainproject.com/route/116107567/the-prowler,2,Nevada > Southern Nevada > Red Rock Boulders > (01) Calico Basin Boulders > Kraft Boulders > (03) Main Area > The Prowler Boulder,3,-1,Attempt,,Boulder,,,20500
