Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
5/13/24,Cosmic Rush,5.11d,"Way harder than 11c, and clipping 2nd bolt is dodgy",https://www.mountainproject.com/route/121938724/cosmic-rush,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bald Rock Cove,2.4,-1,Lead,Fell/Hung,Sport,,75,5500
5/13/24,Age Before Beauty,5.11b,Fell while trying to clip anchors. Need to get further up and right past the anchors to clip,https://www.mountainproject.com/route/121640553/age-before-beauty,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bald Rock Cove,3,-1,Lead,Fell/Hung,Sport,,60,4900
5/10/24,Gold Rush,5.11d,"Fell between last clip and anchor on onsight try

1st crux is clipping perma clip - step up with left fooot into horizontal crack and get high left hand pocket, then get right hand jug to clip

Good rest before headwall

Last clip to anchor is crux - do t rest too much after clipping bolt. Move quickly on the crimps, then do big committing move to the jug just right of the anchor
",https://www.mountainproject.com/route/106980972/gold-rush,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.8,-1,Lead,Fell/Hung,Sport,,70,5500
5/10/24,Snozzberries,5.11d,"Big cut loose move after sit-down rest, followed by pumpy climbing to the anchors",https://www.mountainproject.com/route/108411358/snozzberries,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.7,-1,Lead,Fell/Hung,Sport,,80,5500
5/10/24,Trust in Jesus,5.11b,Great route. Fun traverse and tricky crux,https://www.mountainproject.com/route/106577231/trust-in-jesus,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > The Motherlode > (2) Warm-Up Wall,2.8,-1,Lead,Redpoint,Sport,,50,4900
5/10/24,Injured Reserve,5.11a/b,"Decent route - crux is getting left crimp + high right foot, then go for good pocket far up right",https://www.mountainproject.com/route/106484453/injured-reserve,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > The Motherlode > (2) Warm-Up Wall,2.6,-1,Lead,Onsight,Sport,,60,4800
5/10/24,Air Ride Equipped,5.11a,Fun roof climbing,https://www.mountainproject.com/route/106586504/air-ride-equipped,1,Kentucky > Red River Gorge > Muir Valley > The Solarium,3.6,-1,Lead,Onsight,Sport,,65,4600
5/10/24,Banshee,5.11c,Great route. Two no-hands rests. Crux is just before 2nd hueco rest.,https://www.mountainproject.com/route/106333612/banshee,1,Kentucky > Red River Gorge > Muir Valley > The Solarium,3.9,-1,Lead,Redpoint,Sport,,100,5200
5/10/24,Critters on the Cliff,5.10c,Good route but crag overall not too interesting,https://www.mountainproject.com/route/106061920/critters-on-the-cliff,1,Kentucky > Red River Gorge > Muir Valley > Bruise Brothers Wall,3.1,-1,Lead,Onsight,Sport,,75,3200
5/10/24,Return of Manimal,5.10d,Good route but crag overall not too interesting,https://www.mountainproject.com/route/106061901/return-of-manimal,1,Kentucky > Red River Gorge > Muir Valley > Bruise Brothers Wall,3.5,-1,Lead,Onsight,Sport,,85,3500
5/6/24,The Glass Elevator,5.10d,"Technical and sustained. Tricky crux - big move from 2 undercling pockets to good, but far away crimp.",https://www.mountainproject.com/route/106927822/the-glass-elevator,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3,-1,Lead,Redpoint,Sport,,60,3500
5/6/24,One Brick Shy,5.10c,Felt pumpy for 10c,https://www.mountainproject.com/route/105918096/one-brick-shy,1,Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > The Old Zoo,2.7,-1,Lead,Onsight,Sport,,80,3200
5/6/24,Geezers Go Sport,5.11b,"Slightly easier than monkey, in the middle but slab at the end is a bit tricky",https://www.mountainproject.com/route/106127916/geezers-go-sport,1,Kentucky > Red River Gorge > Natural Bridge Region > The Zoo > The Old Zoo,3.3,-1,Lead,Onsight,Sport,,80,4900
4/22/24,The Glass Elevator,5.10d,"One take. Crux is part with many small pockets. Beta: find two pockets for left and right hand that can be used as underclings, then big dead point to good far up crimp (skip intermediate crimp).",https://www.mountainproject.com/route/106927822/the-glass-elevator,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3,-1,Lead,Fell/Hung,Sport,,60,3500
4/22/24,Augustus Gloop,5.9,Tricky crux at 2nd bolt. Fun and thoughtful slab,https://www.mountainproject.com/route/107756397/augustus-gloop,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.4,-1,Lead,Onsight,Sport,,60,2400
4/22/24,Gummi Bear Exchange,5.11b,"2nd go. Roof is easy - just go way too the right.

Crux is from last bolt to anchor. Make sure to rest very well before head wall. At crux, just use the slopey reiling on the LHS, stand up and get feet up - then you’re good.",https://www.mountainproject.com/route/122728057/gummi-bear-exchange,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Hazel Hollow,2.8,-1,Lead,Redpoint,Sport,,80,4900
4/22/24,Hazel Dormouse,5.9+,Very fun and long route ,https://www.mountainproject.com/route/122728043/hazel-dormouse,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Hazel Hollow,3.7,-1,Lead,Onsight,Sport,,90,2500
