Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
5/2/24,Swedish Fish,5.12a,tried but fell,https://www.mountainproject.com/route/108043545/swedish-fish,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.9,-1,Lead,Pinkpoint,Sport,,110,6600
4/26/24,Oompa,5.10b,,https://www.mountainproject.com/route/106782060/oompa,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.1,3,Lead,,Sport,,60,2900
11/20/23,Lithuanian Princess,5.10a,"one hang, need to stop being a princess and get this one clean!!",https://www.mountainproject.com/route/110334995/lithuanian-princess,1,Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Chaos,3,4,Lead,Fell/Hung,Sport,,40,2600
10/24/23,Sugar Rush,5.9+,,https://www.mountainproject.com/route/107074597/sugar-rush,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.5,-1,Lead,,Sport,,65,2500
10/24/23,Chocolate River,5.9,,https://www.mountainproject.com/route/106453181/chocolate-river,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.4,-1,Lead,,Sport,,50,2400
10/24/23,Wonkaholic,5.10a,,https://www.mountainproject.com/route/107379163/wonkaholic,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.7,-1,Lead,,Sport,,50,2600
10/24/23,Grandpa Joe,5.9,,https://www.mountainproject.com/route/109480361/grandpa-joe,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.6,-1,Lead,,Sport,,50,2400
10/24/23,Grandma Josephine,5.10b,,https://www.mountainproject.com/route/117909365/grandma-josephine,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,2.5,-1,Lead,,Sport,,45,2900
10/22/23,EGBG,5.10a,,https://www.mountainproject.com/route/108766319/egbg,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory,3.6,-1,Lead,Flash,Sport,,90,2600
10/22/23,Raindancer,5.10a,,https://www.mountainproject.com/route/106065295/raindancer,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,1.9,-1,,,Sport,,30,2600
10/21/23,Murano,5.10b/c,,https://www.mountainproject.com/route/106125082/murano,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,2.8,-1,Lead,,Sport,,75,3100
10/21/23,27 Years of Climbing,5.8,,https://www.mountainproject.com/route/106125099/27-years-of-climbing,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.6,-1,Lead,,Sport,,65,2100
10/5/23,Air Ride Equipped,5.11a,,https://www.mountainproject.com/route/106586504/air-ride-equipped,1,Kentucky > Red River Gorge > Muir Valley > The Solarium,3.6,-1,Lead,,Sport,,65,4600
9/23/23,Bessie,5.11c,toproped. Would be a good project,https://www.mountainproject.com/route/106065327/bessie,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,3,3,TR,,Sport,,100,5200
9/23/23,Brown Eyed Girl,5.10a,awesome route! Good to teach beginners slab,https://www.mountainproject.com/route/106065316/brown-eyed-girl,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,3.3,4,Lead,Onsight,Sport,,70,2600
9/22/23,Baby Blue Eyes,5.10c,classic! Really nice slab movement,https://www.mountainproject.com/route/106065321/baby-blue-eyes,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Chica Bonita Wall,3.1,4,Lead,Flash,Sport,,75,3200
9/22/23,Happy Trails,5.10d,"backed off the slabby crux after repeat falls, route put up by John",https://www.mountainproject.com/route/106125118/happy-trails,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,2.6,2,Lead,Fell/Hung,Sport,,80,3500
9/22/23,The King Lives On,5.10b,took one hang,https://www.mountainproject.com/route/106125110/the-king-lives-on,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,2.7,2,Lead,Fell/Hung,Sport,,80,2900
9/22/23,When in Drought,5.10a/b,nice one!,https://www.mountainproject.com/route/122727873/when-in-drought,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Hazel Hollow,2.7,2,Lead,Onsight,Sport,,60,2800
9/22/23,Hazelnut,5.10a,,https://www.mountainproject.com/route/122727902/hazelnut,1,Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Hazel Hollow,3.1,-1,Lead,,Sport,,65,2600
9/21/23,Johnny B. Good,5.11a,"Can definitely lead this one, just need to commit to the heel hook throws to huecos",https://www.mountainproject.com/route/106154626/johnny-b-good,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.4,-1,TR,,Sport,,80,4600
9/21/23,A Brief History of Climb,5.10b,low crux,https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,1,Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery,3.7,4,Lead,,Sport,,75,2900
7/9/23,Hubba Bubba,5.9+,,https://www.mountainproject.com/route/106866761/hubba-bubba,1,West Virginia > The New River Gorge Region > New River Gorge Proper > Bubba City > 06. Head Wall,2.7,-1,Lead,,Sport,,60,2500
